date,team,recent_win_rate,recent_avg_goals_scored,recent_avg_goals_conceded,team_rank,team_rank_points
2026-06-06,Aruba,0.6,2.2,1.4,195.0,858.0
2026-06-06,Luxembourg,0.0,0.0,2.0,92.0,1256.42
2026-06-06,Fiji,0.0,0.0,4.4,147.0,1049.15
2026-06-06,Honduras,0.2,1.0,0.8,75.0,1325.93
2026-06-06,Jamaica,0.6,0.8,0.8,62.0,1390.85
2026-06-06,Vanuatu,0.4,1.6,1.2,163.0,996.21
2026-06-06,Albania,0.2,0.4,1.2,65.0,1375.57
2026-06-06,Cayman Islands,0.4,1.4,0.8,194.0,866.71
2026-06-06,Romania,0.2,1.8,1.6,38.0,1494.2
2026-06-06,Gibraltar,0.2,1.0,2.6,197.0,848.58
2026-06-07,Ukraine,0.6,1.2,1.4,25.0,1554.94
2026-06-07,Guatemala,0.4,1.4,3.2,105.0,1201.35
2026-06-07,Greece,0.2,1.0,1.0,54.0,1455.95
2026-06-07,Andorra,0.2,0.4,1.4,171.0,971.54
2026-06-07,Kosovo,0.4,1.6,1.4,99.0,1219.82
2026-06-07,Denmark,0.2,2.0,1.6,21.0,1611.49
2026-06-07,Italy,0.6,1.4,1.0,9.0,1731.51
2026-06-07,Slovenia,0.2,1.0,1.4,55.0,1454.25
2026-06-07,Cyprus,0.2,1.2,2.0,130.0,1131.32
2026-06-07,Liechtenstein,0.2,0.4,2.8,204.0,821.71
2026-06-08,Peru,0.2,1.2,1.6,40.0,1488.42
2026-06-08,Mauritania,0.0,0.6,1.4,109.0,1183.16
2026-06-08,Niger,0.0,0.8,1.2,122.0,1145.96
2026-06-08,Northern Ireland,0.4,0.6,0.8,71.0,1349.58
2026-06-09,Malawi,0.2,0.2,0.6,131.0,1129.31
2026-06-09,Comoros,0.0,0.0,0.6,103.0,1208.99
2026-06-09,Liberia,0.0,0.6,1.4,145.0,1063.04
2026-06-09,Togo,0.2,0.8,0.8,119.0,1152.18
2026-06-09,Russia,0.4,1.2,0.8,34.0,1512.32
2026-06-09,Estonia,0.4,1.4,1.8,123.0,1142.53
2026-06-09,Latvia,0.0,0.8,2.0,140.0,1084.11
2026-06-09,Tajikistan,0.8,3.0,0.6,104.0,1203.08
2026-06-09,Indonesia,0.4,1.8,1.0,125.0,1135.11
2026-06-09,Hungary,0.6,1.2,0.8,30.0,1517.57
2026-06-09,Ethiopia,0.4,0.6,1.4,146.0,1059.94
2026-06-09,Equatorial Guinea,0.2,0.8,1.4,93.0,1256.2
2026-06-09,Cambodia,0.2,1.6,1.4,180.0,921.2
2026-06-09,Belarus,0.6,1.8,0.8,98.0,1226.31
2026-06-09,Azerbaijan,0.2,1.6,1.8,117.0,1158.7
2026-06-09,Armenia,0.0,0.6,2.8,100.0,1219.15
2026-06-09,Angola,0.2,1.2,1.2,85.0,1296.48
2026-06-09,Philippines,0.8,3.2,1.0,149.0,1047.73
2026-06-09,Burkina Faso,0.4,1.6,1.4,66.0,1373.76
2026-06-09,San Marino,0.0,0.6,2.4,210.0,747.42
2026-06-09,Hong Kong,0.4,1.8,1.4,146.0,1062.39
2026-06-09,Moldova,0.0,1.0,2.6,151.0,1045.59
2026-06-09,Sierra Leone,0.6,1.2,0.6,129.0,1132.06
2026-06-09,Benin,0.4,0.8,1.4,94.0,1250.99
2026-06-09,Trinidad and Tobago,0.0,1.0,3.2,102.0,1214.81
2026-06-09,Lithuania,0.2,0.6,1.4,142.0,1069.96
2026-06-09,Faroe Islands,0.6,1.2,1.2,137.0,1096.88
2026-06-09,Iceland,0.0,0.6,2.0,70.0,1355.1
2026-06-09,Myanmar,0.4,1.8,2.0,167.0,986.15
2026-06-09,India,0.0,0.4,1.8,127.0,1133.62
2026-06-09,Mozambique,0.2,1.2,2.2,96.0,1232.7
2026-06-09,Kazakhstan,0.4,1.0,0.6,110.0,1180.18
2026-06-09,Central African Republic,0.2,0.8,2.4,135.0,1102.23
2026-06-09,Venezuela,0.4,1.2,1.0,47.0,1475.71
2026-06-10,Bolivia,0.4,1.2,1.6,79.0,1308.58
2026-06-10,Pakistan,0.4,1.2,1.2,198.0,842.59
2026-06-10,Nigeria,0.6,2.2,1.0,44.0,1482.23
2026-06-10,Costa Rica,0.0,0.6,2.2,54.0,1454.99
2026-06-10,Afghanistan,0.2,0.4,0.8,155.0,1025.0
2026-06-18,South Africa,0.2,0.6,1.0,57.0,1428.87
2026-06-19,Turkey,0.8,1.6,0.6,42.0,1475.13
2026-06-20,Curaçao,0.2,1.4,3.6,91.0,1264.78
2026-06-21,Egypt,0.4,1.4,0.6,33.0,1513.48
2026-06-21,Saudi Arabia,0.2,1.2,1.0,59.0,1406.56
2026-06-23,Uzbekistan,0.2,1.0,1.6,58.0,1424.93
2026-06-24,Qatar,0.0,0.2,2.2,48.0,1474.6
2026-06-24,Brazil,0.6,3.0,1.25,5.0,1775.85
2026-06-24,Czech Republic,0.4,2.2,1.4,32.0,1502.9
2026-06-24,Haiti,0.2,1.5,1.0,86.0,1287.75
2026-06-24,Canada,0.4,2.0,0.4,31.0,1515.96
2026-06-24,Bosnia and Herzegovina,0.0,0.8,1.4,74.0,1326.69
2026-06-24,Switzerland,0.4,2.0,0.8,20.0,1625.16
2026-06-24,Scotland,0.6,2.25,0.5,45.0,1480.24
2026-06-24,Morocco,0.4,2.75,0.5,14.0,1688.18
2026-06-24,Mexico,1.0,2.2,0.2,19.0,1627.4
2026-06-25,Ecuador,0.4,1.5,0.75,24.0,1560.13
2026-06-25,Japan,0.6,1.25,0.5,15.0,1652.79
2026-06-25,Netherlands,0.2,1.25,1.25,7.0,1747.55
2026-06-25,Sweden,0.4,2.75,2.0,27.0,1540.2
2026-06-25,Germany,0.8,3.75,0.75,10.0,1703.79
2026-06-25,Australia,0.4,2.0,0.75,26.0,1544.15
2026-06-25,Paraguay,0.4,1.75,1.5,53.0,1458.26
2026-06-25,Tunisia,0.0,0.25,2.75,52.0,1464.42
2026-06-26,Spain,0.2,1.0,0.5,3.0,1853.27
2026-06-26,Iraq,0.2,0.75,1.75,56.0,1442.86
2026-06-26,France,0.6,2.5,1.25,2.0,1859.78
2026-06-26,Senegal,0.2,1.5,1.75,17.0,1637.25
2026-06-26,New Zealand,0.2,1.5,2.0,105.0,1193.98
2026-06-26,Uruguay,0.0,0.75,1.75,11.0,1695.91
2026-06-26,Norway,0.4,2.0,0.75,43.0,1484.44
2026-06-26,Belgium,0.4,2.25,0.5,8.0,1740.62
2026-06-27,Austria,0.8,2.5,0.5,22.0,1589.84
2026-06-27,England,0.6,2.0,0.75,4.0,1813.81
2026-06-27,Portugal,0.6,1.75,0.75,6.0,1756.12
2026-06-27,Croatia,0.2,1.25,2.5,13.0,1691.59
2026-06-27,Jordan,0.0,1.0,2.75,64.0,1375.91
2026-06-27,Panama,0.2,1.75,2.5,36.0,1504.39
2026-06-27,Colombia,0.6,2.25,1.25,12.0,1694.44
2026-06-27,Algeria,0.4,1.25,0.75,37.0,1495.85
2026-06-27,Argentina,0.8,3.25,0.0,1.0,1867.25
2026-06-27,Ghana,0.2,0.75,1.25,77.0,1320.52
